,Unnamed: 0.1,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,year,is_valid,continent
3951,6152,1966-05-25,Belgium,Republic_of_Ireland,2.0,3.0,Friendly,Liège,Belgium,0.0,2.0,1966,True,Europe
3952,6155,1966-05-29,Chile,Mexico,0.0,1.0,Friendly,Santiago,Chile,0.0,2.0,1966,True,America
3953,6156,1966-05-30,Denmark,Turkey,0.0,0.0,Friendly,Copenhagen,Denmark,0.0,0.0,1966,True,Europe
3954,6157,1966-06-01,Germany,Romania,1.0,0.0,Friendly,Ludwigshafen,Germany,0.0,1.0,1966,True,Europe
3955,6158,1966-06-01,Yugoslavia,Bulgaria,0.0,2.0,Friendly,Belgrade,Yugoslavia,0.0,2.0,1966,True,Europe
3956,6160,1966-06-04,Finland,Sweden,1.0,0.0,Nordic_Championship,Helsinki,Finland,0.0,1.0,1966,True,Europe
3957,6162,1966-06-05,Hungary,Switzerland,3.0,1.0,Friendly,Budapest,Hungary,0.0,1.0,1966,True,Europe
3958,6164,1966-06-08,Brazil,Poland,2.0,1.0,Friendly,Rio_de_Janeiro,Brazil,0.0,1.0,1966,True,America
3959,6165,1966-06-08,Brazil,Peru,3.0,1.0,Friendly,Rio_de_Janeiro,Brazil,0.0,1.0,1966,True,America
3960,6166,1966-06-10,Curaçao,Jamaica,0.0,0.0,Friendly,Port-au-Prince,Haiti,1.0,0.0,1966,True,America
3961,6167,1966-06-10,Trinidad_and_Tobago,Suriname,3.0,2.0,Friendly,Port-au-Prince,Haiti,1.0,1.0,1966,True,America
3962,6168,1966-06-11,Argentina,Poland,1.0,1.0,Friendly,Buenos_Aires,Argentina,0.0,0.0,1966,True,America
3963,6170,1966-06-12,Brazil,Czechoslovakia,2.0,1.0,Friendly,Rio_de_Janeiro,Brazil,0.0,1.0,1966,True,America
3964,6172,1966-06-12,Trinidad_and_Tobago,Curaçao,1.0,0.0,Friendly,Port-au-Prince,Haiti,1.0,1.0,1966,True,America
3965,6173,1966-06-13,Haiti,Suriname,1.0,4.0,Friendly,Port-au-Prince,Haiti,0.0,2.0,1966,True,America
3966,6176,1966-06-15,Brazil,Czechoslovakia,2.0,2.0,Friendly,Rio_de_Janeiro,Brazil,0.0,0.0,1966,True,America
3967,6178,1966-06-15,Israel,Uruguay,1.0,2.0,Friendly,Ramat-Gan,Israel,0.0,2.0,1966,True,Europe
3968,6180,1966-06-16,Haiti,Curaçao,3.0,0.0,Friendly,Port-au-Prince,Haiti,0.0,1.0,1966,True,America
3969,6183,1966-06-18,Haiti,Trinidad_and_Tobago,1.0,0.0,Friendly,Port-au-Prince,Haiti,0.0,1.0,1966,True,America
3970,6184,1966-06-18,Italy,Austria,1.0,0.0,Friendly,Milan,Italy,0.0,1.0,1966,True,Europe
3971,6185,1966-06-18,Scotland,Portugal,0.0,1.0,Friendly,Glasgow,Scotland,0.0,2.0,1966,True,Europe
3972,6186,1966-06-19,Romania,Uruguay,1.0,0.0,Friendly,Bucharest,Romania,0.0,1.0,1966,True,Europe
3973,6187,1966-06-19,Switzerland,Mexico,1.0,1.0,Friendly,Lausanne,Switzerland,0.0,0.0,1966,True,Europe
3974,6188,1966-06-20,Curaçao,Suriname,1.0,1.0,Friendly,Port-au-Prince,Haiti,1.0,0.0,1966,True,America
3975,6190,1966-06-21,Denmark,Portugal,1.0,3.0,Friendly,Esbjerg,Denmark,0.0,2.0,1966,True,Europe
3976,6191,1966-06-22,Haiti,Jamaica,3.0,0.0,Friendly,Port-au-Prince,Haiti,0.0,1.0,1966,True,America
3977,6192,1966-06-22,Italy,Argentina,3.0,0.0,Friendly,Turin,Italy,0.0,1.0,1966,True,Europe
3978,6194,1966-06-23,Germany,Yugoslavia,2.0,0.0,Friendly,Hanover,Germany,0.0,1.0,1966,True,Europe
3979,6195,1966-06-23,Spain,Uruguay,1.0,1.0,Friendly,La_Coruña,Spain,0.0,0.0,1966,True,Europe
3980,6196,1966-06-25,Scotland,Brazil,1.0,1.0,Friendly,Glasgow,Scotland,0.0,0.0,1966,True,Europe
3981,6197,1966-06-26,Denmark,Norway,0.0,1.0,Nordic_Championship,Copenhagen,Denmark,0.0,2.0,1966,True,Europe
3982,6198,1966-06-26,Finland,England,0.0,3.0,Friendly,Helsinki,Finland,0.0,2.0,1966,True,Europe
3983,6199,1966-06-26,Portugal,Uruguay,3.0,0.0,Friendly,Oeiras,Portugal,0.0,1.0,1966,True,Europe
3984,6200,1966-06-27,Sweden,Yugoslavia,1.0,1.0,Friendly,Malmö,Sweden,0.0,0.0,1966,True,Europe
3985,6204,1966-06-30,Congo_DR,Ghana,0.0,3.0,Friendly,Brazzaville,Congo,1.0,2.0,1966,True,Africa
3986,6205,1966-06-30,Sweden,Brazil,2.0,3.0,Friendly,Gothenburg,Sweden,0.0,2.0,1966,True,Europe
3987,6208,1966-07-03,Denmark,England,0.0,2.0,Friendly,Copenhagen,Denmark,0.0,2.0,1966,True,Europe
3988,6209,1966-07-03,Portugal,Romania,1.0,0.0,Friendly,Porto,Portugal,0.0,1.0,1966,True,Europe
3989,6210,1966-07-04,Malawi,Zambia,0.0,3.0,Friendly,Blantyre,Malawi,0.0,2.0,1966,True,Africa
3990,6211,1966-07-05,Madagascar,Zambia,0.0,3.0,Friendly,Blantyre,Malawi,1.0,2.0,1966,True,Africa
3991,6212,1966-07-05,Poland,England,0.0,1.0,Friendly,Chorzów,Poland,0.0,2.0,1966,True,Europe
3992,6217,1966-07-10,Ethiopia,Sudan,1.0,1.0,Friendly,Addis_Abeba,Ethiopia,0.0,0.0,1966,True,Africa
3993,6218,1966-07-11,England,Uruguay,0.0,0.0,FIFA_World_Cup,London,England,0.0,0.0,1966,True,Europe
3994,6219,1966-07-12,Brazil,Bulgaria,2.0,0.0,FIFA_World_Cup,Liverpool,England,1.0,1.0,1966,True,Europe
3995,6221,1966-07-12,Korea_DPR,Russia,0.0,3.0,FIFA_World_Cup,Middlesbrough,England,1.0,2.0,1966,True,Europe
3996,6222,1966-07-13,Argentina,Spain,2.0,1.0,FIFA_World_Cup,Birmingham,England,1.0,1.0,1966,True,Europe
3997,6223,1966-07-13,Chile,Italy,0.0,2.0,FIFA_World_Cup,Sunderland,England,1.0,2.0,1966,True,Europe
3998,6224,1966-07-13,France,Mexico,1.0,1.0,FIFA_World_Cup,London,England,1.0,0.0,1966,True,Europe
3999,6225,1966-07-13,Hungary,Portugal,1.0,3.0,FIFA_World_Cup,Manchester,England,1.0,2.0,1966,True,Europe
4000,6226,1966-07-15,Brazil,Hungary,1.0,3.0,FIFA_World_Cup,Liverpool,England,1.0,2.0,1966,True,Europe
4001,6227,1966-07-15,Chile,Korea_DPR,1.0,1.0,FIFA_World_Cup,Middlesbrough,England,1.0,0.0,1966,True,Europe
4002,6228,1966-07-15,France,Uruguay,1.0,2.0,FIFA_World_Cup,London,England,1.0,2.0,1966,True,Europe
4003,6229,1966-07-15,Spain,Switzerland,2.0,1.0,FIFA_World_Cup,Sheffield,England,1.0,1.0,1966,True,Europe
4004,6230,1966-07-16,Argentina,Germany,0.0,0.0,FIFA_World_Cup,Birmingham,England,1.0,0.0,1966,True,Europe
4005,6231,1966-07-16,Bulgaria,Portugal,0.0,3.0,FIFA_World_Cup,Manchester,England,1.0,2.0,1966,True,Europe
4006,6232,1966-07-16,England,Mexico,2.0,0.0,FIFA_World_Cup,London,England,0.0,1.0,1966,True,Europe
4007,6233,1966-07-16,Italy,Russia,0.0,1.0,FIFA_World_Cup,Sunderland,England,1.0,2.0,1966,True,Europe
4008,6234,1966-07-18,Sudan,Uganda,2.0,1.0,Friendly,Addis_Abeba,Ethiopia,1.0,1.0,1966,True,Africa
4009,6235,1966-07-19,Argentina,Switzerland,2.0,0.0,FIFA_World_Cup,Sheffield,England,1.0,1.0,1966,True,Europe
4010,6236,1966-07-19,Brazil,Portugal,1.0,3.0,FIFA_World_Cup,Liverpool,England,1.0,2.0,1966,True,Europe
4011,6237,1966-07-19,Italy,Korea_DPR,0.0,1.0,FIFA_World_Cup,Middlesbrough,England,1.0,2.0,1966,True,Europe
4012,6238,1966-07-19,Mexico,Uruguay,0.0,0.0,FIFA_World_Cup,London,England,1.0,0.0,1966,True,Europe
4013,6239,1966-07-20,Bulgaria,Hungary,1.0,3.0,FIFA_World_Cup,Manchester,England,1.0,2.0,1966,True,Europe
