home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,day_of_week,month,year
Jamaica,Haiti,2,1,Friendly,Kingston,Jamaica,False,H,Saturday,December,1951
Curaçao,Aruba,3,0,Friendly,Willemstad,Netherlands Antilles,False,H,Saturday,February,1952
Curaçao,Aruba,3,1,Friendly,Willemstad,Netherlands Antilles,False,H,Sunday,February,1952
Aruba,Suriname,2,1,Friendly,Oranjestad,Aruba,False,H,Thursday,February,1952
Guyana,Suriname,0,9,Friendly,Oranjestad,Netherlands Antilles,True,A,Sunday,February,1952
Belgium,Italy,2,0,Friendly,Brussels,Belgium,False,H,Sunday,February,1952
Guadeloupe,Martinique,4,0,Friendly,Basse-Terre,Guadeloupe,False,H,Wednesday,March,1952
Martinique,Guadeloupe,1,2,Friendly,Fort-de-France,Martinique,False,A,Thursday,March,1952
Burma,India,0,4,Friendly,Colombo,Ceylon,True,A,Friday,March,1952
Chile,Panama,6,1,Pan American Championship,Santiago,Chile,False,H,Sunday,March,1952
Burma,Pakistan,0,1,Friendly,Colombo,Ceylon,True,A,Tuesday,March,1952
Wales,Northern Ireland,3,0,British Championship,Swansea,Wales,False,H,Wednesday,March,1952
Austria,Belgium,2,0,Friendly,Vienna,Austria,False,H,Sunday,March,1952
India,Pakistan,0,0,Friendly,Colombo,Ceylon,True,D,Sunday,March,1952
Mexico,Uruguay,1,3,Pan American Championship,Santiago,Chile,True,A,Sunday,March,1952
Panama,Peru,1,7,Pan American Championship,Santiago,Chile,True,A,Sunday,March,1952
Sri Lanka,India,1,2,Friendly,Colombo,Ceylon,False,A,Monday,March,1952
Chile,Mexico,4,0,Pan American Championship,Santiago,Chile,False,H,Wednesday,March,1952
France,Sweden,0,1,Friendly,Paris,France,False,A,Wednesday,March,1952
Sri Lanka,Pakistan,0,2,Friendly,Colombo,Ceylon,False,A,Friday,March,1952
Peru,Uruguay,2,5,Pan American Championship,Santiago,Chile,True,A,Sunday,March,1952
