,home_team,away_team,home_score,away_score,tournament,country,neutral,outcome,year
6718,Nigeria,Ghana,2.0,2.0,Friendly,Nigeria,False,Draw,1967
6719,Congo DR,Romania,1.0,1.0,Friendly,Congo DR,False,Draw,1967
6720,Ethiopia,Kenya,2.0,0.0,Friendly,Ethiopia,False,Home,1967
6721,Israel,Belgium,0.0,2.0,Friendly,Israel,False,Away,1968
6722,Algeria,Côte d'Ivoire,0.0,3.0,African Cup of Nations,Ethiopia,True,Away,1968
6723,Congo,Congo DR,0.0,3.0,African Cup of Nations,Ethiopia,True,Away,1968
6724,Ethiopia,Uganda,2.0,1.0,African Cup of Nations,Ethiopia,False,Home,1968
6725,Ghana,Senegal,2.0,2.0,African Cup of Nations,Ethiopia,True,Draw,1968
6726,Algeria,Uganda,4.0,0.0,African Cup of Nations,Ethiopia,True,Home,1968
6727,Congo,Senegal,1.0,2.0,African Cup of Nations,Ethiopia,True,Away,1968
6728,Congo DR,Ghana,1.0,2.0,African Cup of Nations,Ethiopia,True,Away,1968
6729,Ethiopia,Côte d'Ivoire,1.0,0.0,African Cup of Nations,Ethiopia,False,Home,1968
6730,Congo,Ghana,1.0,3.0,African Cup of Nations,Ethiopia,True,Away,1968
6731,Congo DR,Senegal,2.0,1.0,African Cup of Nations,Ethiopia,True,Home,1968
6732,Ethiopia,Algeria,3.0,1.0,African Cup of Nations,Ethiopia,False,Home,1968
6733,Côte d'Ivoire,Uganda,2.0,1.0,African Cup of Nations,Ethiopia,True,Home,1968
6734,Ethiopia,Congo DR,2.0,3.0,African Cup of Nations,Ethiopia,False,Away,1968
6735,Ghana,Côte d'Ivoire,4.0,3.0,African Cup of Nations,Ethiopia,True,Home,1968
6736,Congo DR,Ghana,1.0,0.0,African Cup of Nations,Ethiopia,True,Home,1968
6737,Ethiopia,Côte d'Ivoire,0.0,1.0,African Cup of Nations,Ethiopia,False,Away,1968
6738,Nigeria,Sierra Leone,4.0,1.0,Friendly,Nigeria,False,Home,1968
6739,Israel,Switzerland,2.0,1.0,Friendly,Israel,False,Home,1968
6740,Cyprus,Switzerland,2.0,1.0,UEFA Euro qualification,Cyprus,False,Home,1968
6741,Israel,Sweden,0.0,3.0,Friendly,Israel,False,Away,1968
6742,Scotland,England,1.0,1.0,UEFA Euro qualification,Scotland,False,Draw,1968
6743,Burkina Faso,Guinea,2.0,0.0,Friendly,Upper Volta,False,Home,1968
6744,Spain,Sweden,3.0,1.0,Friendly,Spain,False,Home,1968
6745,Wales,Northern Ireland,2.0,0.0,UEFA Euro qualification,Wales,False,Home,1968
6746,Mexico,Russia,0.0,0.0,Friendly,Mexico,False,Draw,1968
6747,Belgium,Germany,1.0,3.0,Friendly,Belgium,False,Away,1968
6748,Guinea,Congo DR,1.0,0.0,Friendly,Guinea,False,Home,1968
6749,Mexico,Russia,1.0,1.0,Friendly,Mexico,False,Draw,1968
6750,Mexico,Russia,0.0,0.0,Friendly,Mexico,False,Draw,1968
6751,Turkey,Tunisia,0.0,0.0,Friendly,Turkey,False,Draw,1968
6752,Morocco,Algeria,0.0,0.0,Friendly,Morocco,False,Draw,1968
6753,Mexico,Japan,4.0,0.0,Friendly,Mexico,False,Home,1968
6754,Australia,Japan,2.0,2.0,Friendly,Australia,False,Draw,1968
6755,Australia,Japan,3.0,1.0,Friendly,Australia,False,Home,1968
6756,Guinea,Burkina Faso,3.0,1.0,Friendly,Guinea,False,Home,1968
6757,Guinea,Burkina Faso,1.0,3.0,Friendly,Guinea,False,Away,1968
6758,England,Spain,1.0,0.0,UEFA Euro qualification,England,False,Home,1968
6759,Australia,Japan,1.0,3.0,Friendly,Australia,False,Away,1968
6760,Barbados,Suriname,0.0,2.0,Friendly,Barbados,False,Away,1968
6761,Bulgaria,Italy,3.0,2.0,UEFA Euro qualification,Bulgaria,False,Home,1968
6762,France,Yugoslavia,1.0,1.0,UEFA Euro qualification,France,False,Draw,1968
6763,Netherlands,Belgium,1.0,2.0,Friendly,Netherlands,False,Away,1968
6764,Togo,Guinea,1.0,1.0,Friendly,Togo,False,Draw,1968
6765,Barbados,Suriname,0.0,0.0,Friendly,Barbados,False,Draw,1968
6766,Benin,Guinea,2.0,5.0,Friendly,Dahomey,False,Away,1968
6767,Martinique,Suriname,1.0,3.0,Friendly,Martinique,False,Away,1968
6768,Martinique,Suriname,3.0,2.0,Friendly,Martinique,False,Home,1968
6769,Switzerland,Germany,0.0,0.0,Friendly,Switzerland,False,Draw,1968
6770,Italy,Bulgaria,2.0,0.0,UEFA Euro qualification,Italy,False,Home,1968
6771,Poland,Turkey,8.0,0.0,Friendly,Poland,False,Home,1968
6772,Russia,Belgium,1.0,0.0,Friendly,Soviet Union,False,Home,1968
6773,Yugoslavia,France,5.0,1.0,UEFA Euro qualification,Yugoslavia,False,Home,1968
6774,Czechoslovakia,Yugoslavia,3.0,0.0,Friendly,Czechoslovakia,False,Home,1968
6775,Austria,Romania,1.0,1.0,Friendly,Austria,False,Draw,1968
6776,Poland,Netherlands,0.0,0.0,Friendly,Poland,False,Draw,1968
6777,Eswatini,Malawi,2.0,0.0,Friendly,Eswatini,False,Home,1968
6778,Sweden,Spain,1.0,1.0,Friendly,Sweden,False,Draw,1968
6779,Hungary,Russia,2.0,0.0,UEFA Euro qualification,Hungary,False,Home,1968
6780,El Salvador,Guatemala,3.0,0.0,Friendly,El Salvador,False,Home,1968
6781,Kenya,Nigeria,1.0,2.0,Friendly,Kenya,False,Away,1968
6782,Spain,England,1.0,2.0,UEFA Euro qualification,Spain,False,Away,1968
6783,Wales,Germany,1.0,1.0,Friendly,Wales,False,Draw,1968
6784,IR Iran,Hong Kong,2.0,0.0,AFC Asian Cup,IR Iran,False,Home,1968
6785,Burma,Taiwan,1.0,1.0,AFC Asian Cup,IR Iran,True,Draw,1968
6786,Russia,Hungary,3.0,0.0,UEFA Euro qualification,Soviet Union,False,Home,1968
6787,Hong Kong,Israel,1.0,6.0,AFC Asian Cup,IR Iran,True,Away,1968
6788,IR Iran,Taiwan,4.0,0.0,AFC Asian Cup,IR Iran,False,Home,1968
6789,Burma,Israel,1.0,0.0,AFC Asian Cup,IR Iran,True,Home,1968
6790,Hong Kong,Taiwan,1.0,1.0,AFC Asian Cup,IR Iran,True,Draw,1968
6791,Republic of Ireland,Poland,2.0,2.0,Friendly,Republic of Ireland,False,Draw,1968
6792,Paraguay,Argentina,2.0,0.0,Friendly,Paraguay,False,Home,1968
6793,IR Iran,Burma,3.0,1.0,AFC Asian Cup,IR Iran,False,Home,1968
6794,Israel,Taiwan,4.0,1.0,AFC Asian Cup,IR Iran,True,Home,1968
6795,Burma,Hong Kong,2.0,0.0,AFC Asian Cup,IR Iran,True,Home,1968
6796,Austria,Cyprus,7.0,1.0,FIFA World Cup qualification,Austria,False,Home,1968
6797,Ghana,Côte d'Ivoire,2.0,1.0,Friendly,Ghana,False,Home,1968
6798,IR Iran,Israel,2.0,1.0,AFC Asian Cup,IR Iran,False,Home,1968
6799,Mexico,Uruguay,3.0,3.0,Friendly,Mexico,False,Draw,1968
6800,England,Sweden,3.0,1.0,Friendly,England,False,Home,1968
6801,Mexico,Uruguay,2.0,2.0,Friendly,Mexico,False,Draw,1968
6802,Netherlands,Scotland,0.0,0.0,Friendly,Netherlands,False,Draw,1968
6803,Germany,England,1.0,0.0,Friendly,Germany,False,Home,1968
6804,Paraguay,Uruguay,0.0,0.0,Copa Artigas,Paraguay,False,Draw,1968
6805,Finland,Denmark,1.0,3.0,Nordic Championship,Finland,False,Away,1968
6806,Argentina,Uruguay,2.0,0.0,Copa Lipton,Argentina,False,Home,1968
6807,England,Yugoslavia,0.0,1.0,UEFA Euro,Italy,True,Away,1968
6808,Italy,Russia,0.0,0.0,UEFA Euro,Italy,False,Draw,1968
6809,Romania,Netherlands,0.0,0.0,Friendly,Romania,False,Draw,1968
6810,England,Russia,2.0,0.0,UEFA Euro,Italy,True,Home,1968
6811,Italy,Yugoslavia,1.0,1.0,UEFA Euro,Italy,False,Draw,1968
6812,Brazil,Uruguay,2.0,0.0,Copa Rio Branco,Brazil,False,Home,1968
6813,Norway,Poland,1.0,6.0,Friendly,Norway,False,Away,1968
6814,Italy,Yugoslavia,2.0,0.0,UEFA Euro,Italy,False,Home,1968
6815,Brazil,Uruguay,4.0,0.0,Copa Rio Branco,Brazil,False,Home,1968
6816,Germany,Brazil,2.0,1.0,Friendly,Germany,False,Home,1968
6817,Russia,Austria,3.0,1.0,Friendly,Soviet Union,False,Home,1968
6818,Finland,Belgium,1.0,2.0,FIFA World Cup qualification,Finland,False,Away,1968
6819,Poland,Brazil,3.0,6.0,Friendly,Poland,False,Away,1968
6820,Uruguay,Argentina,2.0,1.0,Copa Newton,Uruguay,False,Home,1968
6821,Czechoslovakia,Brazil,3.0,2.0,Friendly,Czechoslovakia,False,Home,1968
6822,Denmark,Norway,5.0,1.0,Nordic Championship,Denmark,False,Home,1968
6823,Yugoslavia,Brazil,0.0,2.0,Friendly,Yugoslavia,False,Away,1968
6824,Sweden,Denmark,2.0,1.0,Nordic Championship,Sweden,False,Home,1968
6825,Zambia,Uganda,2.0,1.0,Friendly,Zambia,False,Home,1968
6826,Portugal,Brazil,0.0,2.0,Friendly,Mozambique,True,Away,1968
6827,Zambia,Uganda,1.0,1.0,Friendly,Zambia,False,Draw,1968
6828,Zambia,Uganda,2.0,1.0,Friendly,Zambia,False,Home,1968
6829,Zambia,Uganda,2.0,2.0,Friendly,Zambia,False,Draw,1968
6830,Malawi,Kenya,2.0,2.0,Friendly,Malawi,False,Draw,1968
6831,Mexico,Brazil,0.0,2.0,Friendly,Mexico,False,Away,1968
6832,Mexico,Brazil,2.0,1.0,Friendly,Mexico,False,Home,1968
6833,Malawi,Botswana,8.0,1.0,Friendly,Malawi,False,Home,1968
6834,Peru,Brazil,3.0,4.0,Friendly,Peru,False,Away,1968
6835,Honduras,El Salvador,0.0,0.0,Friendly,Honduras,False,Draw,1968
6836,Peru,Brazil,0.0,4.0,Friendly,Peru,False,Away,1968
6837,Iceland,Norway,0.0,4.0,Friendly,Iceland,False,Away,1968
6838,Eswatini,Malawi,2.0,0.0,Friendly,Eswatini,False,Home,1968
6839,Paraguay,Brazil,0.0,4.0,Copa Oswaldo Cruz,Paraguay,False,Away,1968
6840,Paraguay,Brazil,1.0,0.0,Copa Oswaldo Cruz,Paraguay,False,Home,1968
6841,El Salvador,Honduras,2.0,1.0,Friendly,El Salvador,False,Home,1968
6842,Sweden,Russia,2.0,2.0,Friendly,Sweden,False,Draw,1968
6843,Brazil,Argentina,4.0,1.0,Friendly,Brazil,False,Home,1968
6844,Burma,Vietnam Republic,3.0,0.0,Merdeka Tournament,Malaysia,True,Home,1968
6845,Korea Republic,Western Australia,0.0,3.0,Merdeka Tournament,Malaysia,True,Away,1968
6846,Brazil,Argentina,3.0,2.0,Friendly,Brazil,False,Home,1968
6847,Hong Kong,Thailand,0.0,0.0,Merdeka Tournament,Malaysia,True,Draw,1968
6848,Singapore,Taiwan,0.0,2.0,Merdeka Tournament,Malaysia,True,Away,1968
6849,Burma,Hong Kong,3.0,0.0,Merdeka Tournament,Malaysia,True,Home,1968
6850,India,Vietnam Republic,3.0,2.0,Merdeka Tournament,Malaysia,True,Home,1968
6851,Indonesia,Western Australia,4.0,5.0,Merdeka Tournament,Malaysia,True,Away,1968
6852,Korea Republic,Singapore,3.0,2.0,Merdeka Tournament,Malaysia,True,Home,1968
6853,Burma,Thailand,0.0,0.0,Merdeka Tournament,Malaysia,True,Draw,1968
6854,Korea Republic,Taiwan,2.0,1.0,Merdeka Tournament,Malaysia,True,Home,1968
6855,Malaysia,Vietnam Republic,4.0,0.0,Merdeka Tournament,Malaysia,False,Home,1968
6856,El Salvador,Guatemala,1.0,0.0,Friendly,El Salvador,False,Home,1968
6857,Hong Kong,India,1.0,1.0,Merdeka Tournament,Malaysia,True,Draw,1968
6858,Indonesia,Singapore,4.0,0.0,Merdeka Tournament,Malaysia,True,Home,1968
6859,Thailand,Vietnam Republic,2.0,3.0,Merdeka Tournament,Malaysia,True,Away,1968
