,home_team,away_team,home_score,away_score,tournament,country,neutral,outcome,year,continent
37781,Madagascar,Central African Republic,1.0,1.0,African Cup of Nations qualification,Madagascar,False,Draw,2016,Africa
37782,Malta,Moldova,0.0,0.0,Friendly,Malta,False,Draw,2016,Europe
37783,Oman,Guam,1.0,0.0,FIFA World Cup qualification,Oman,False,Home,2016,Asia
37784,Peru,Venezuela,2.0,2.0,FIFA World Cup qualification,Peru,False,Draw,2016,America
37785,Qatar,Hong Kong,2.0,0.0,FIFA World Cup qualification,Qatar,False,Home,2016,Asia
37786,Saudi Arabia,Malaysia,2.0,0.0,FIFA World Cup qualification,Saudi Arabia,False,Home,2016,Asia
37787,Singapore,Burma,2.0,1.0,Friendly,Singapore,False,Home,2016,Asia
37788,Solomon Islands,Papua New Guinea,2.0,0.0,Friendly,Solomon Islands,False,Home,2016,Oceania
37789,Syria,Cambodia,6.0,0.0,FIFA World Cup qualification,Oman,True,Home,2016,Asia
37790,Turkey,Sweden,2.0,1.0,Friendly,Turkey,False,Home,2016,Europe
37791,Ukraine,Cyprus,1.0,0.0,Friendly,Ukraine,False,Home,2016,Europe
37792,United Arab Emirates,Palestine,2.0,0.0,FIFA World Cup qualification,United Arab Emirates,False,Home,2016,Asia
37793,Uzbekistan,Philippines,1.0,0.0,FIFA World Cup qualification,Uzbekistan,False,Home,2016,Asia
37794,Vietnam,Taiwan,4.0,1.0,FIFA World Cup qualification,Vietnam,False,Home,2016,Asia
37795,Wales,Northern Ireland,1.0,1.0,Friendly,Wales,False,Draw,2016,Europe
37796,Algeria,Ethiopia,7.0,1.0,African Cup of Nations qualification,Algeria,False,Home,2016,Africa
37797,Armenia,Belarus,0.0,0.0,Friendly,Armenia,False,Draw,2016,Europe
37798,Brazil,Uruguay,2.0,2.0,FIFA World Cup qualification,Brazil,False,Draw,2016,America
37799,Canada,Mexico,0.0,3.0,FIFA World Cup qualification,Canada,False,Away,2016,America
37800,El Salvador,Honduras,2.0,2.0,FIFA World Cup qualification,El Salvador,False,Draw,2016,America
37801,Gabon,Sierra Leone,2.0,1.0,Friendly,Gabon,False,Home,2016,Africa
37802,Guatemala,USA,2.0,0.0,FIFA World Cup qualification,Guatemala,False,Home,2016,America
37803,Guinea,Malawi,0.0,0.0,African Cup of Nations qualification,Guinea,False,Draw,2016,Africa
37804,Haiti,Panama,0.0,0.0,FIFA World Cup qualification,Haiti,False,Draw,2016,America
37805,Republic of Ireland,Switzerland,1.0,0.0,Friendly,Republic of Ireland,False,Home,2016,Europe
37806,Côte d'Ivoire,Sudan,1.0,0.0,African Cup of Nations qualification,Côte d'Ivoire,False,Home,2016,Africa
37807,Jamaica,Costa Rica,1.0,1.0,FIFA World Cup qualification,Jamaica,False,Draw,2016,America
37808,Luxembourg,Bosnia and Herzegovina,0.0,3.0,Friendly,Luxembourg,False,Away,2016,Europe
37809,Mali,Equatorial Guinea,1.0,0.0,African Cup of Nations qualification,Mali,False,Home,2016,Africa
37810,Mauritania,Gambia,2.0,1.0,African Cup of Nations qualification,Mauritania,False,Home,2016,Africa
37811,Netherlands,France,2.0,3.0,Friendly,Netherlands,False,Away,2016,Europe
37812,Nigeria,Egypt,1.0,1.0,African Cup of Nations qualification,Nigeria,False,Draw,2016,Africa
37813,Portugal,Bulgaria,0.0,1.0,Friendly,Portugal,False,Away,2016,Europe
37814,Slovakia,Latvia,0.0,0.0,Friendly,Slovakia,False,Draw,2016,Europe
37815,Eswatini,Zimbabwe,1.0,1.0,African Cup of Nations qualification,Eswatini,False,Draw,2016,Africa
37816,Tunisia,Togo,1.0,0.0,African Cup of Nations qualification,Tunisia,False,Home,2016,Africa
37817,Anguilla,Puerto Rico,0.0,4.0,CFU Caribbean Cup qualification,Anguilla,False,Away,2016,America
37818,Aruba,Saint Kitts and Nevis,0.0,2.0,CFU Caribbean Cup qualification,Aruba,False,Away,2016,America
37819,Austria,Albania,2.0,1.0,Friendly,Austria,False,Home,2016,Europe
37820,Azerbaijan,Kazakhstan,0.0,1.0,Friendly,Turkey,True,Away,2016,Europe
37821,Bermuda,French Guiana,2.0,1.0,CFU Caribbean Cup qualification,Bermuda,False,Home,2016,America
37822,British Virgin Islands,Dominica,0.0,7.0,CFU Caribbean Cup qualification,British Virgin Islands,False,Away,2016,America
37823,Burkina Faso,Uganda,1.0,0.0,African Cup of Nations qualification,Burkina Faso,False,Home,2016,Africa
37824,Burundi,Namibia,1.0,3.0,African Cup of Nations qualification,Burundi,False,Away,2016,Africa
37825,Cameroon,South Africa,2.0,2.0,African Cup of Nations qualification,Cameroon,False,Draw,2016,Africa
37826,Cabo Verde,Morocco,0.0,1.0,African Cup of Nations qualification,Cabo Verde,False,Away,2016,Africa
37827,Congo DR,Angola,2.0,1.0,African Cup of Nations qualification,Congo DR,False,Home,2016,Africa
37828,Curaçao,Dominican Republic,2.0,1.0,CFU Caribbean Cup qualification,Curaçao,False,Home,2016,America
37829,Germany,England,2.0,3.0,Friendly,Germany,False,Away,2016,Europe
37830,Hungary,Croatia,1.0,1.0,Friendly,Hungary,False,Draw,2016,Europe
37831,Mauritius,Rwanda,1.0,0.0,African Cup of Nations qualification,Mauritius,False,Home,2016,Africa
37832,Poland,Finland,5.0,0.0,Friendly,Poland,False,Home,2016,Europe
37833,Russia,Lithuania,3.0,0.0,Friendly,Russia,False,Home,2016,Europe
37834,Senegal,Niger,2.0,0.0,African Cup of Nations qualification,Senegal,False,Home,2016,Africa
37835,Seychelles,Lesotho,2.0,0.0,African Cup of Nations qualification,Seychelles,False,Home,2016,Africa
37836,Sint Maarten,US Virgin Islands,1.0,2.0,CFU Caribbean Cup qualification,Sint Maarten,False,Away,2016,America
37837,Benin,South Sudan,4.0,1.0,African Cup of Nations qualification,Benin,False,Home,2016,Africa
37838,Botswana,Comoros,2.0,1.0,African Cup of Nations qualification,Botswana,False,Home,2016,Africa
37839,Congo,Zambia,1.0,1.0,African Cup of Nations qualification,Congo,False,Draw,2016,Africa
37840,Kenya,Guinea-Bissau,0.0,1.0,African Cup of Nations qualification,Kenya,False,Away,2016,Africa
37841,Mozambique,Ghana,0.0,0.0,African Cup of Nations qualification,Mozambique,False,Draw,2016,Africa
37842,Romania,Spain,0.0,0.0,Friendly,Romania,False,Draw,2016,Europe
37843,Thailand,Korea Republic,0.0,1.0,Friendly,Thailand,False,Away,2016,Asia
37844,Andorra,Moldova,0.0,1.0,Friendly,Malta,True,Away,2016,Europe
37845,Central African Republic,Madagascar,2.0,1.0,African Cup of Nations qualification,Central African Republic,False,Home,2016,Africa
37846,Equatorial Guinea,Mali,0.0,1.0,African Cup of Nations qualification,Equatorial Guinea,False,Away,2016,Africa
37847,Libya,São Tomé and Príncipe,4.0,0.0,African Cup of Nations qualification,Egypt,True,Home,2016,Africa
37848,Liechtenstein,Faroe Islands,2.0,3.0,Friendly,Spain,True,Away,2016,Europe
37849,Northern Ireland,Slovenia,1.0,0.0,Friendly,Northern Ireland,False,Home,2016,Europe
37850,Sierra Leone,Gabon,1.0,0.0,Friendly,Sierra Leone,False,Home,2016,Africa
37851,Ukraine,Wales,1.0,0.0,Friendly,Ukraine,False,Home,2016,Europe
37852,Afghanistan,Singapore,2.0,1.0,FIFA World Cup qualification,IR Iran,True,Home,2016,Asia
37853,Angola,Congo DR,0.0,2.0,African Cup of Nations qualification,Angola,False,Away,2016,Africa
37854,Argentina,Bolivia,2.0,0.0,FIFA World Cup qualification,Argentina,False,Home,2016,America
37855,Australia,Jordan,5.0,1.0,FIFA World Cup qualification,Australia,False,Home,2016,Asia
37856,Austria,Turkey,1.0,2.0,Friendly,Austria,False,Away,2016,Europe
37857,China PR,Qatar,2.0,0.0,FIFA World Cup qualification,China PR,False,Home,2016,Asia
37858,Colombia,Ecuador,3.0,0.0,FIFA World Cup qualification,Colombia,False,Home,2016,America
37859,Costa Rica,Jamaica,3.0,0.0,FIFA World Cup qualification,Costa Rica,False,Home,2016,America
37860,Dominica,Martinique,1.0,4.0,CFU Caribbean Cup qualification,Dominica,False,Away,2016,America
37861,Dominican Republic,Barbados,2.0,0.0,CFU Caribbean Cup qualification,Dominican Republic,False,Home,2016,America
37862,Egypt,Nigeria,1.0,0.0,African Cup of Nations qualification,Egypt,False,Home,2016,Africa
37863,England,Netherlands,1.0,2.0,Friendly,England,False,Away,2016,Europe
37864,Estonia,Serbia,0.0,1.0,Friendly,Estonia,False,Away,2016,Europe
37865,Ethiopia,Algeria,3.0,3.0,African Cup of Nations qualification,Ethiopia,False,Draw,2016,Africa
37866,France,Russia,4.0,2.0,Friendly,France,False,Home,2016,Europe
37867,French Guiana,Cuba,3.0,0.0,CFU Caribbean Cup qualification,French Guiana,False,Home,2016,America
37868,Gambia,Mauritania,0.0,0.0,African Cup of Nations qualification,Gambia,False,Draw,2016,Africa
37869,Georgia,Kazakhstan,1.0,1.0,Friendly,Georgia,False,Draw,2016,Europe
