,team,confederation,games,home_games,away_games,neutral_games,wins,home_wins,away_wins,neutral_wins,defeats,home_defeats,away_defeats,neutral_defeats,draws,home_draws,away_draws,neutral_draws,goals_scored,home_goals_scored,away_goals_scored,neutral_goals_scored,goals_conceded,home_goals_conceded,away_goals_conceded,neutral_goals_conceded
193,Turks and Caicos Islands,CONCACAF,23,5,9,9,4,2,0,2,17,3,9,5,2,0,0,2,16,5,1,10,93,25,42,26
194,US Virgin Islands,CONCACAF,50,17,26,7,5,2,3,0,40,15,19,6,5,0,4,1,23,7,13,3,226,75,102,49
195,USA,CONCACAF,695,401,222,72,304,220,60,24,247,91,119,37,144,90,43,11,1026,690,237,99,917,392,403,122
196,Uganda,CAF,572,201,200,171,232,118,41,73,182,33,100,49,158,50,59,49,851,412,179,260,675,194,299,182
197,Ukraine,UEFA,283,127,117,39,127,70,38,19,78,22,43,13,78,35,36,7,389,199,137,53,290,98,149,43
198,United Arab Emirates,AFC,525,225,121,179,210,116,34,60,185,53,58,74,130,56,29,45,734,398,132,204,661,237,182,242
199,Uruguay,CONMEBOL,884,292,370,222,386,174,103,109,281,44,163,74,217,74,104,39,1391,544,428,419,1095,259,560,276
200,Uzbekistan,AFC,274,93,107,74,114,53,28,33,102,18,59,25,58,22,20,16,414,178,122,114,332,62,172,98
201,Vanuatu,OFC,147,35,34,78,44,10,7,27,82,14,25,43,21,11,2,8,258,42,40,176,327,52,97,178
202,Venezuela,CONMEBOL,383,152,145,86,92,54,17,21,204,56,101,47,87,42,27,18,385,194,98,93,737,219,347,171
203,Vietnam,AFC,191,82,57,52,73,37,12,24,73,22,31,20,45,23,14,8,300,147,54,99,283,92,111,80
204,Wales,UEFA,665,314,325,26,214,121,84,9,306,111,181,14,145,82,60,3,826,456,344,26,1082,428,620,34
205,Yemen,AFC,220,44,69,107,42,18,6,18,135,16,52,67,43,10,11,22,206,68,33,105,502,59,164,279
206,Yugoslavia,UEFA,466,180,229,57,218,103,83,32,154,43,97,14,94,34,49,11,919,419,379,121,713,230,414,69
207,Zambia,CAF,680,214,275,191,302,130,92,80,191,30,106,55,187,54,77,56,1010,423,318,269,701,174,320,207
208,Zimbabwe,CAF,415,145,170,100,164,81,47,36,130,22,82,26,121,42,41,38,541,227,175,139,457,111,231,115
