,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,year,continent
224,1908-07-12,177.0,139.0,11.0,3.0,57.0,598.0,211.0,0.0,1.0,1908,3.0
225,1908-08-15,198.0,8.0,2.0,2.0,37.0,1075.0,235.0,0.0,0.0,1908,1.0
226,1908-09-13,8.0,198.0,2.0,1.0,38.0,281.0,7.0,0.0,1.0,1908,1.0
227,1908-10-04,8.0,198.0,0.0,1.0,41.0,281.0,7.0,0.0,2.0,1908,1.0
228,1908-10-25,131.0,177.0,5.0,3.0,57.0,1648.0,152.0,0.0,1.0,1908,3.0
229,1908-10-26,19.0,177.0,2.0,1.0,57.0,274.0,19.0,0.0,1.0,1908,3.0
230,1908-11-01,86.0,12.0,5.0,3.0,57.0,280.0,99.0,0.0,1.0,1908,3.0
231,1909-02-13,61.0,138.0,4.0,0.0,17.0,253.0,67.0,0.0,1.0,1909,3.0
232,1909-03-01,203.0,159.0,3.0,2.0,17.0,1800.0,242.0,0.0,1.0,1909,3.0
233,1909-03-15,61.0,203.0,2.0,0.0,17.0,1169.0,67.0,0.0,1.0,1909,3.0
234,1909-03-15,159.0,138.0,5.0,0.0,17.0,592.0,189.0,0.0,1.0,1909,3.0
235,1909-03-20,138.0,203.0,2.0,3.0,17.0,184.0,179.0,0.0,2.0,1909,3.0
236,1909-03-21,19.0,131.0,1.0,4.0,57.0,81.0,19.0,0.0,2.0,1909,3.0
237,1909-04-03,61.0,159.0,2.0,0.0,17.0,930.0,67.0,0.0,1.0,1909,3.0
238,1909-04-04,73.0,178.0,1.0,0.0,57.0,762.0,84.0,0.0,1.0,1909,3.0
239,1909-04-04,86.0,73.0,3.0,3.0,57.0,280.0,99.0,0.0,0.0,1909,3.0
240,1909-04-25,131.0,19.0,4.0,1.0,57.0,1404.0,152.0,0.0,1.0,1909,3.0
241,1909-05-02,12.0,86.0,3.0,4.0,57.0,1744.0,11.0,0.0,2.0,1909,3.0
242,1909-05-09,19.0,69.0,5.0,2.0,57.0,274.0,19.0,0.0,1.0,1909,3.0
243,1909-05-29,86.0,61.0,2.0,4.0,57.0,280.0,99.0,0.0,2.0,1909,3.0
244,1909-05-30,86.0,12.0,1.0,1.0,57.0,280.0,99.0,0.0,0.0,1909,3.0
245,1909-05-31,86.0,61.0,2.0,8.0,57.0,280.0,99.0,0.0,2.0,1909,3.0
246,1909-06-01,12.0,61.0,1.0,8.0,57.0,1744.0,11.0,0.0,2.0,1909,3.0
247,1909-08-15,8.0,198.0,2.0,1.0,37.0,281.0,7.0,0.0,1.0,1909,1.0
248,1909-09-19,198.0,8.0,2.0,2.0,38.0,1075.0,235.0,0.0,0.0,1909,1.0
249,1909-10-10,8.0,198.0,3.0,1.0,41.0,281.0,7.0,0.0,1.0,1909,1.0
250,1909-11-07,86.0,12.0,2.0,2.0,57.0,280.0,99.0,0.0,0.0,1909,3.0
251,1910-02-12,138.0,61.0,1.0,1.0,17.0,184.0,179.0,0.0,0.0,1910,3.0
252,1910-03-05,159.0,203.0,1.0,0.0,17.0,794.0,189.0,0.0,1.0,1910,3.0
253,1910-03-13,19.0,131.0,3.0,2.0,57.0,81.0,19.0,0.0,1.0,1910,3.0
254,1910-03-14,203.0,61.0,0.0,1.0,17.0,319.0,242.0,0.0,2.0,1910,3.0
255,1910-03-19,138.0,159.0,1.0,0.0,17.0,184.0,179.0,0.0,1.0,1910,3.0
256,1910-04-02,159.0,61.0,2.0,0.0,17.0,592.0,189.0,0.0,1.0,1910,3.0
257,1910-04-03,69.0,19.0,0.0,4.0,57.0,578.0,76.0,0.0,2.0,1910,3.0
258,1910-04-03,178.0,73.0,2.0,3.0,57.0,163.0,212.0,0.0,2.0,1910,3.0
259,1910-04-10,131.0,19.0,7.0,0.0,57.0,635.0,152.0,0.0,1.0,1910,3.0
